house_id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,zip,water_supply,heating_type,Furnishing Status,garage,Available
4940,459990,3,2.5,2680,5539,2,0,0,3,2680,0,2013,1923,13800 453rd Ave SE,North Bend,98045,Municipal,Coal,Unfurnished,1,N
4941,625000,4,3.5,2730,54014,1,0,0,3,1560,1170,2007,0,9927 174th Ave SE,Renton,98059,Well,Wood,Unfurnished,2,Y
4942,300000,3,2.5,2540,5050,2,0,0,3,2540,0,2006,0,29734 215th Terrace SE,Kent,98042,Well,Wood,Semi-Furnished,0,N
4943,625000,4,2.5,2920,6605,2,0,0,3,2920,0,2012,1912,5608 NE 5th Cir,Renton,98059,Municipal,Electric,Semi-Furnished,2,Y
4944,553000,2,1,900,5000,1,0,0,3,900,0,1944,0,8053 29th Ave NW,Seattle,98117,Municipal,Gas,Unfurnished,0,Y
4945,379880,3,2.5,1650,14054,1,0,0,4,1130,520,1986,0,13256 242nd Pl SE,Issaquah,98027,Municipal,Coal,Unfurnished,0,N
4946,310000,3,1,1010,9945,1,0,0,4,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,98065,Municipal,Electric,Semi-Furnished,2,N
4947,775000,2,2.5,2680,7392,1,0,0,3,2680,0,2004,2003,13134 234th Ct NE,Redmond,98053,Well,Electric,Unfurnished,1,Y
4948,365000,3,2.5,2200,7350,1,0,0,5,1570,630,1988,0,13420 SE 182nd St,Renton,98058,Well,Gas,Unfurnished,0,N
4949,331950,4,2.5,2530,9933,2,0,2,3,2010,520,1990,2009,925 48th Ct,Auburn,98092,Municipal,Wood,Unfurnished,0,N
4950,783500,3,2.5,2850,7130,2,0,0,3,1990,860,1980,0,151 Euclid Ave,Seattle,98122,Well,Electric,Semi-Furnished,0,N
4951,628000,4,2,2280,6010,1,0,0,3,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,98122,Municipal,Wood,Semi-Furnished,2,Y
4952,560000,3,2.5,1900,8744,2,0,0,3,1900,0,1987,2000,22314 NE 11th Pl,Sammamish,98074,Municipal,Wood,Unfurnished,0,Y
4953,900000,3,1,1330,77972,1,0,0,3,1330,0,1928,1954,13615 NE 100th St,Kirkland,98033,Well,Coal,Unfurnished,1,N
4954,531000,2,3,1270,1175,2,0,0,3,1110,160,2000,0,1411 N 48th St,Seattle,98103,Municipal,Gas,Semi-Furnished,0,Y
4955,831000,4,3,2170,4000,2,0,0,4,1610,560,1982,2011,120 31st Ave E,Seattle,98112,Well,Coal,Unfurnished,2,N
4956,780000,4,2.5,2730,10281,2,0,2,3,2730,0,1996,0,23140 NE 14th Ct,Sammamish,98074,Well,Wood,Semi-Furnished,1,Y
4957,755000,4,2.5,2120,10202,1,0,0,4,1620,500,1960,2001,12645 SE 27th St,Bellevue,98005,Well,Electric,Unfurnished,0,Y
4958,705380,3,2.5,2490,4343,2,0,0,3,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,98029,Municipal,Coal,Unfurnished,1,N
4959,627000,4,2.5,1990,7712,1,0,0,3,1210,780,1973,2013,18915 SE 42nd Pl,Issaquah,98027,Well,Coal,Semi-Furnished,2,N
4960,865000,4,3,3690,9892,2,0,0,3,3690,0,1998,2006,1765 267th Ct SE,Sammamish,98075,Well,Electric,Semi-Furnished,0,N
4961,580000,2,1,2540,7000,1,0,0,5,1320,1220,1942,0,8624 Island Dr S,Seattle,98118,Well,Electric,Furnished,0,Y
4962,410000,3,2.5,1800,36704,1,0,0,4,1360,440,1978,2000,24502 SE Mirrormont Dr,Issaquah,98027,Well,Coal,Semi-Furnished,0,N
4963,485000,4,3,2340,7048,1,0,0,4,1340,1000,1979,0,14319 85th Pl NE,Kirkland,98034,Well,Electric,Furnished,1,Y
4964,400000,2,1.5,2110,9519,1,0,0,2,2110,0,1948,0,2120 NE 168th St,Shoreline,98155,Well,Wood,Unfurnished,1,N
4965,549000,2,1,1140,5400,1,0,0,5,1140,0,1908,0,209 30th Ave E,Seattle,98112,Municipal,Gas,Semi-Furnished,0,N
4966,620000,3,1.5,1480,2185,2.5,0,0,3,1480,0,2005,0,10512 128th Ave NE,Kirkland,98033,Municipal,Coal,Furnished,1,N
4967,405000,2,3,1410,1240,2,0,0,3,1140,270,2006,0,9126 45th Ave SW,Seattle,98136,Well,Gas,Unfurnished,1,N
4968,232000,2,1,1200,8063,1,0,0,4,1200,0,1958,1972,20220 8th Ave S,Des Moines,98198,Well,Coal,Semi-Furnished,2,Y
4969,800866,5,2.5,3180,13806,2,0,0,4,3180,0,1990,0,11821 NE 48th Pl,Kirkland,98033,Well,Wood,Unfurnished,0,N
4970,650000,3,1.5,2160,9000,1,0,2,4,1400,760,1949,1985,13026 10th Ave NW,Seattle,98177,Well,Coal,Semi-Furnished,0,Y
4971,823000,6,1.5,2920,5000,2.5,0,0,4,2780,140,1908,0,125 29th Ave,Seattle,98122,Municipal,Electric,Furnished,0,Y
4972,770000,3,2,2350,5700,1.5,0,0,4,1810,540,1939,1989,2171 Boyer Ave E,Seattle,98112,Well,Electric,Unfurnished,0,N
4973,524000,3,1.5,1560,5520,1,0,0,4,780,780,1944,0,3434 33rd Ave W,Seattle,98199,Well,Gas,Furnished,2,N
4974,541125,5,2.5,2740,8426,1,0,0,4,1370,1370,1960,2001,5211 116th Pl SE,Bellevue,98006,Municipal,Electric,Unfurnished,0,N
4975,670000,3,2.5,1680,2000,3,0,0,3,1680,0,1909,1998,3503 NE 44th St,Seattle,98105,Well,Wood,Furnished,2,Y
4976,384900,5,2.5,3090,12750,1,0,0,3,1750,1340,1968,1997,114 SW 292nd St,Federal Way,98023,Well,Coal,Semi-Furnished,2,Y
4977,406100,3,2.5,1410,1332,3,0,0,3,1410,0,2005,0,8536 Interlake Ave N,Seattle,98103,Municipal,Electric,Unfurnished,1,Y
4978,1395000,5,3.5,4010,8510,2,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,98105,Municipal,Electric,Semi-Furnished,1,N
4979,736500,4,2.5,3180,21904,2,0,3,3,3180,0,2000,0,17132 SE 100th St,Renton,98059,Well,Electric,Unfurnished,1,Y
4980,570000,3,2.5,2010,6000,1,0,0,3,1330,680,1975,0,10204 168th Pl NE,Redmond,98052,Municipal,Gas,Unfurnished,0,N
4981,787000,3,1.5,1330,7500,1,0,0,3,1330,0,1961,2004,218 109th Ave SE,Bellevue,98004,Well,Wood,Unfurnished,1,Y
4982,328000,4,2.5,2370,6500,2,0,0,3,2370,0,1998,2006,12621 SE 300th Way,Auburn,98092,Municipal,Gas,Furnished,2,N
4983,435000,5,2,1840,9240,1,0,0,4,1540,300,1942,1958,14013 Ashworth Ave N,Seattle,98133,Well,Gas,Unfurnished,2,N
4984,499000,4,2.5,2910,6479,2,0,0,3,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,98065,Well,Coal,Unfurnished,2,N
4985,501000,4,1,2070,7519,1,0,0,3,1160,910,1963,2008,2506 166th Ave NE,Bellevue,98008,Well,Wood,Unfurnished,1,N
4986,1090000,4,2.5,4340,141570,2.5,0,0,3,4340,0,1992,0,8814 218th Ave NE,Redmond,98053,Well,Electric,Unfurnished,2,N
4987,400000,2,1,840,5510,1,0,0,3,840,0,1955,2005,4515 SW Trenton St,Seattle,98136,Municipal,Wood,Unfurnished,0,Y
4988,220000,4,1.5,1240,9600,1,0,0,3,1240,0,1971,0,4924 SW 314th Pl,Federal Way,98023,Well,Coal,Furnished,1,N
4989,657100,4,1,1390,4240,1,0,0,3,1050,340,1924,2011,4312 Woodlawn Ave N,Seattle,98103,Municipal,Coal,Semi-Furnished,1,N
4990,309950,4,2.5,2310,5000,2,0,0,3,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,98038,Municipal,Gas,Unfurnished,2,N
4991,300000,3,2,1050,10072,1,0,0,3,1050,0,1986,0,27106 NE Miller St,Duvall,98019,Municipal,Wood,Semi-Furnished,0,Y
4992,525888,5,1.5,2550,71874,1,0,0,5,1810,740,1960,0,13129 195th Pl SE,Issaquah,98027,Well,Gas,Unfurnished,2,Y
4993,740000,4,1.5,2010,3600,1.5,0,0,3,2010,0,1902,0,1014 W Garfield St,Seattle,98119,Municipal,Coal,Unfurnished,0,N
4994,340000,5,1,1120,9022,1.5,0,0,4,1120,0,1962,0,14150 75th Ave NE,Kirkland,98034,Well,Coal,Unfurnished,1,Y
4995,398750,3,2.5,2230,4000,2,0,0,3,2230,0,1954,2005,2601 21st Ave S,Seattle,98144,Municipal,Electric,Unfurnished,0,Y
4996,206000,2,1,810,7158,1,0,0,5,810,0,1944,0,12807 7th Ave S,Burien,98168,Municipal,Electric,Unfurnished,0,Y
4997,1030000,5,2.5,3190,16920,1,0,3,3,1690,1500,1976,0,4529 135th Ave SE,Bellevue,98006,Well,Coal,Furnished,1,Y
4998,600000,3,1.5,1670,39639,1,0,0,4,1670,0,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,98075,Municipal,Gas,Unfurnished,0,Y
4999,379950,4,1.5,1970,9389,1,0,0,5,1140,830,1960,0,1701 N 204th Pl,Shoreline,98133,Well,Wood,Unfurnished,2,Y
5000,287000,3,1,1450,6000,1,0,0,4,1450,0,1953,1983,8681 Beacon Ave S,Seattle,98118,Municipal,Electric,Furnished,0,Y
5001,2280000,7,8,13540,307752,3,0,4,3,9410,4130,1999,0,26408 NE 70th St,Redmond,98053,Well,Coal,Unfurnished,2,N
5002,309950,3,2.5,1880,7838,2,0,0,3,1880,0,1994,0,17717 113th Pl SE,Renton,98055,Well,Gas,Unfurnished,0,Y
5003,600000,3,1.5,1880,6360,1,0,0,4,1040,840,1945,0,8040 39th Ave NE,Seattle,98115,Municipal,Coal,Unfurnished,0,Y
5004,418000,3,2,1410,6030,1.5,0,0,4,1410,0,1930,0,901 N 97th St,Seattle,98103,Well,Electric,Unfurnished,0,Y
5005,449250,4,2,1480,3844,1.5,0,0,5,1480,0,1928,1970,519 N 104th St,Seattle,98133,Well,Electric,Semi-Furnished,0,N
5006,329950,2,1,1140,5250,1.5,0,0,4,1140,0,1949,1985,14017 Roslyn Pl N,Seattle,98133,Well,Wood,Semi-Furnished,1,Y
5007,245000,3,1.5,1920,9306,1,0,0,3,1000,920,1984,0,30001-30021 55th Pl S,Auburn,98001,Municipal,Coal,Furnished,1,Y
5008,549000,4,2.5,2910,6338,2,0,0,3,2910,0,2008,0,16026 SE 137th Terrace,Renton,98059,Well,Coal,Furnished,1,Y
5009,800000,3,2.5,3240,7857,2,0,0,3,3240,0,1994,0,22721-22727 SE 27th St,Sammamish,98075,Well,Electric,Unfurnished,1,N
5010,249950,3,2,1550,15040,1,0,0,4,1550,0,1958,1972,18027 SE 128th St,Renton,98059,Municipal,Electric,Semi-Furnished,2,Y
5011,210000,5,2,2050,10200,1,0,0,3,1430,620,1956,2001,20927-20999 2nd Ave S,Des Moines,98198,Municipal,Gas,Unfurnished,2,Y
5012,1425000,2,2.5,2220,4000,2,0,0,3,2220,0,2000,0,1857 41st Ave E,Seattle,98112,Well,Gas,Furnished,0,Y
5013,585000,2,1,1770,8640,1.5,0,0,3,1520,250,1949,1998,353 NW 88th St,Seattle,98117,Municipal,Gas,Unfurnished,0,Y
5014,615000,4,1.5,2300,11700,1,0,0,4,1960,340,1977,0,18427 NE 26th Way,Redmond,98052,Well,Electric,Semi-Furnished,1,Y
5015,618500,3,2,1800,5000,1,0,0,4,1080,720,1942,1982,2803 NE 62nd St,Seattle,98115,Well,Electric,Semi-Furnished,0,Y
5016,487585,4,1.5,2010,9211,1,0,0,3,1470,540,1977,2004,13313 127th Pl NE,Kirkland,98034,Municipal,Gas,Semi-Furnished,1,N
5017,509900,3,2.5,1790,2700,2,0,0,3,1790,0,2010,0,4532 185th Ave SE,Issaquah,98027,Well,Coal,Unfurnished,1,Y
5018,631625,4,2.5,2440,6651,2,0,0,3,2440,0,2014,0,9288-9358 Holman Rd NW,Seattle,98117,Well,Wood,Semi-Furnished,0,N
5019,555000,3,2.5,1940,3211,2,0,0,3,1940,0,2009,0,4509 185th Ave SE,Issaquah,98027,Municipal,Wood,Unfurnished,0,N
5020,340000,2,1.5,1160,1438,2,0,0,3,1160,0,2001,0,1318 29th Ave S,Seattle,98144,Well,Coal,Semi-Furnished,2,Y
5021,830000,4,2.5,3400,9692,2,0,0,3,3400,0,2007,0,12001 173rd Pl NE,Redmond,98052,Well,Wood,Unfurnished,1,N
5022,890000,4,4.5,4420,5750,2,0,0,3,3410,1010,2006,0,842 Summerhill Ridge Dr NW,Issaquah,98027,Municipal,Gas,Furnished,1,Y
5023,366750,3,3,1571,2017,3,0,0,3,1571,0,2008,0,14359 19th Ave NE,Seattle,98125,Municipal,Wood,Semi-Furnished,0,Y
5024,415000,3,2.5,1620,998,2.5,0,0,3,1540,80,2010,0,935 4th Ave NE,Issaquah,98029,Municipal,Wood,Unfurnished,2,N
5025,416286,3,2.5,1408,989,3,0,0,3,1408,0,2005,0,7809 12th Ave NE,Seattle,98115,Well,Coal,Furnished,1,Y
5026,478000,3,2.5,3040,4535,2,0,0,3,3040,0,2007,0,2027 Ferndale Ave NE,Renton,98056,Well,Coal,Unfurnished,2,N
5027,890000,5,3.5,4490,6000,2,0,0,3,3200,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah,98027,Well,Coal,Unfurnished,1,N
5028,419190,2,2.5,1590,1426,2,0,0,3,1590,0,2014,0,1273 NE Hickory Ln,Issaquah,98029,Municipal,Coal,Unfurnished,2,N
5029,712198,4,2.5,2450,4247,2,0,0,3,2450,0,2013,1923,17122 NE 117th St,Redmond,98052,Municipal,Gas,Unfurnished,2,N
5030,397000,4,2,1440,7680,1,0,0,3,1200,240,1971,0,10601 NE 138th Pl,Kirkland,98034,Well,Coal,Furnished,0,Y
5031,450000,2,2,1100,3000,1.5,0,0,3,1100,0,1912,2005,412 NW 70th St,Seattle,98117,Well,Wood,Unfurnished,0,Y
5032,353000,3,1,1350,7740,1,0,0,4,860,490,1947,1988,11051 35th Ave NE,Seattle,98125,Well,Electric,Semi-Furnished,1,Y
5033,609000,4,2.5,2150,37981,2,0,0,3,2150,0,1985,0,18114 NE 136th St,Redmond,98052,Municipal,Electric,Unfurnished,0,Y
5034,234000,3,1.5,1490,8366,1,0,0,4,1010,480,1975,0,25305 151st Pl SE,Covington,98042,Municipal,Coal,Unfurnished,1,N
5035,561000,3,2,2000,7000,2,0,0,3,2000,0,1916,1986,6422 Marshall Ave SW,Seattle,98136,Well,Wood,Unfurnished,0,Y
5036,469000,2,1,1030,4400,1,0,0,3,1030,0,1924,2011,310 NW 72nd St,Seattle,98117,Well,Gas,Semi-Furnished,1,Y
5037,329350,2,1,720,6687,1,0,0,3,720,0,1942,1999,9712 4th Ave NW,Seattle,98117,Municipal,Gas,Unfurnished,2,N
5038,488000,5,2,2020,5000,1.5,0,0,4,2020,0,1938,0,9020-9024 11th Ave NW,Seattle,98117,Well,Electric,Unfurnished,0,N
5039,279900,3,1.5,1580,8151,1,0,1,4,1100,480,1962,0,1629 S 261st Pl,Des Moines,98198,Municipal,Wood,Unfurnished,2,Y
5040,606000,4,2.5,2110,13850,2,0,0,3,2110,0,1987,2000,2755 NW Pine Cone Dr,Issaquah,98027,Municipal,Gas,Semi-Furnished,0,N
5041,312000,4,2,1300,7054,1,0,0,3,1300,0,1950,2013,2815 SW 107th St,Seattle,98146,Well,Coal,Unfurnished,1,N
5042,650000,3,1.5,1630,7475,1,0,1,3,1160,470,1940,1996,6009 52nd Ave NE,Seattle,98115,Well,Wood,Semi-Furnished,1,N
5043,1135000,4,2.5,3370,8103,1,0,3,3,1970,1400,1970,2014,3922 SW Henderson St,Seattle,98136,Well,Coal,Unfurnished,2,N
5044,325000,4,2.5,1890,6156,1,0,0,3,980,910,1980,0,5631 17th Ave SW,Seattle,98106,Well,Wood,Unfurnished,1,N
5045,425000,4,2,1520,7983,1,0,0,5,1520,0,1967,0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,98034,Municipal,Wood,Unfurnished,0,Y
5046,219000,2,1,900,5160,1,0,0,3,900,0,1952,2008,8652 17th Ave SW,Seattle,98106,Well,Gas,Furnished,0,N
5047,250000,3,1,1050,6874,1,0,0,3,1050,0,1954,2005,18305 Dayton Ave N,Shoreline,98133,Municipal,Gas,Unfurnished,0,N
5048,390000,3,1.5,1260,6500,1,0,0,4,1260,0,1966,0,1415 168th Ave NE,Bellevue,98008,Municipal,Coal,Unfurnished,0,Y
5049,475000,6,3,3470,117612,1.5,0,0,3,3470,0,1924,2011,19007 80th Ave NE,Kenmore,98028,Municipal,Coal,Semi-Furnished,1,N
5050,736000,4,2.5,2290,12047,2,0,0,4,2290,0,1988,0,17435 SE 47th St,Bellevue,98006,Municipal,Wood,Semi-Furnished,2,N
5051,407000,4,2.5,2810,23400,1,0,1,3,1710,1100,1958,2004,23024-23198 17th Ave S,Des Moines,98198,Well,Gas,Unfurnished,0,N
5052,272000,3,2.5,1650,13816,2,0,0,3,1650,0,1998,2006,32000-32072 NE 55th St,Carnation,98014,Municipal,Gas,Semi-Furnished,0,Y
5053,362000,3,2.5,1640,14374,1,0,0,4,1140,500,1963,0,17253 Ambaum Blvd S,Burien,98148,Municipal,Wood,Unfurnished,0,Y
5054,535000,3,2.5,1850,10109,2,0,0,3,1850,0,1991,0,8409 NE 129th Pl,Kirkland,98034,Municipal,Gas,Furnished,0,Y
5055,284000,4,2.5,2000,5390,2,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,98042,Municipal,Wood,Unfurnished,1,N
5056,367500,3,1.5,1410,9647,1,0,0,3,1410,0,1961,2004,18048 3rd Ave NW,Shoreline,98177,Well,Wood,Unfurnished,2,Y
5057,379900,4,1.5,1500,11600,1,0,0,4,1000,500,1955,2009,15007 75th Ave NE,Kenmore,98028,Municipal,Gas,Unfurnished,2,N
5058,520000,3,2.5,2460,54885,2,0,0,4,2460,0,1980,0,5424 NE 10th St,Renton,98059,Municipal,Wood,Unfurnished,1,N
5059,175000,3,1,1010,7034,1,0,0,3,1010,0,1954,2005,207 NW 5th St,Renton,98057,Municipal,Gas,Furnished,0,Y
5060,460000,2,2.5,1230,929,2,0,0,3,1020,210,2004,2003,100 24th Ave E,Seattle,98112,Municipal,Gas,Furnished,2,N
